season	yr	mnth	holiday	weekday	workingday	weathersit	temp	hum	windspeed	cnt
4	0	10	0	6	0	1	0.506667	0.483333	0.258083	5217
1	1	12	0	5	1	2	0.253333	0.59	0.155471	3095
1	1	1	0	1	1	2	0.218333	0.91125	0.11070799999999999	2432
3	0	7	0	2	1	1	0.776667	0.650417	0.1306	4541
1	1	1	0	5	1	1	0.334167	0.542083	0.167908	4098
2	1	6	0	0	0	1	0.5925	0.59875	0.144904	6978
1	1	1	0	3	1	2	0.274167	0.8475	0.131221	2177
2	1	4	0	4	1	1	0.49833299999999997	0.6125	0.0659292	6565
2	0	5	0	3	1	2	0.55	0.87	0.201492	3855
1	0	1	0	1	1	1	0.150833	0.482917	0.22326700000000002	1321
4	0	9	0	6	0	2	0.606667	0.8625	0.0783833	5423
3	1	6	0	4	1	1	0.749167	0.4225	0.17165	6879
4	1	12	0	3	1	1	0.438333	0.485	0.324021	5729
2	0	4	0	6	0	2	0.46	0.887917	0.230725	4036
2	1	6	0	3	1	1	0.554167	0.61125	0.077125	7055
1	0	1	0	0	0	1	0.13833299999999998	0.434167	0.36195	822
2	0	6	0	5	1	1	0.649167	0.735833	0.143029	4844
1	1	3	0	6	0	2	0.414167	0.62125	0.161079	4066
4	1	12	0	3	1	1	0.3325	0.625417	0.184092	5267
2	0	4	0	1	1	1	0.573333	0.42625	0.38061125	3115
1	1	1	0	6	0	1	0.18	0.4575	0.187183	2493
4	1	9	0	6	0	1	0.5425	0.542917	0.227604	8555
3	0	7	0	3	1	1	0.768333	0.707083	0.113817	4332
4	1	12	0	0	0	2	0.3475	0.823333	0.12437899999999999	4649
4	1	11	0	0	0	1	0.325833	0.532917	0.179108	5107
1	1	2	0	5	1	1	0.343333	0.634583	0.205846	4154
4	0	10	0	6	0	3	0.25416700000000003	0.8825	0.351371	627
4	0	10	0	2	1	2	0.5325	0.701667	0.11008699999999999	4748
1	0	3	0	2	1	2	0.317391	0.655652	0.184309	2056
1	1	2	0	3	1	2	0.25666700000000003	0.722917	0.133721	2802
3	0	8	0	2	1	1	0.640833	0.455417	0.146763	5895
1	0	3	0	5	1	2	0.261667	0.610417	0.203346	1944
2	1	4	0	6	0	2	0.37666700000000003	0.489583	0.129975	4220
4	0	10	1	1	0	1	0.570833	0.73375	0.0423042	5117
2	1	5	0	0	0	1	0.69	0.697083	0.215171	6591
1	0	3	0	0	0	1	0.3325	0.47375	0.20772100000000002	2471
4	0	9	0	4	1	1	0.616667	0.699167	0.17288299999999998	4839
3	1	7	0	4	1	1	0.77	0.600417	0.165429	6591
2	1	3	0	0	0	2	0.4375	0.880833	0.220775	4996
4	0	12	0	5	1	1	0.290833	0.695833	0.08271669999999999	3620
2	1	5	0	4	1	2	0.56	0.768333	0.133696	6421
3	1	8	0	0	0	1	0.700833	0.530417	0.122512	6544
3	0	7	0	2	1	1	0.794167	0.559167	0.200254	4258
1	0	2	0	1	1	1	0.415	0.375833	0.38061125	1913
2	0	6	0	5	1	1	0.755	0.605	0.14055399999999998	4586
2	0	4	0	0	0	2	0.581667	0.810833	0.192175	4191
3	0	8	0	3	1	1	0.723333	0.575417	0.14366700000000002	4694
4	0	12	0	4	1	2	0.4225	0.634167	0.268042	3709
1	0	12	0	2	1	2	0.325	0.7625	0.18845	1162
3	1	8	0	2	1	1	0.649167	0.67375	0.07277080000000001	7006
4	1	10	0	4	1	2	0.5225	0.728333	0.23693699999999998	7509
3	1	8	0	6	0	1	0.678333	0.603333	0.177867	7865
2	1	5	0	3	1	2	0.656667	0.67	0.134329	6855
4	0	12	0	3	1	2	0.3175	0.66375	0.06095830000000001	3740
1	0	2	0	3	1	2	0.134783	0.494783	0.188839	1605
4	0	11	0	5	1	1	0.274167	0.41	0.168533	3392
3	0	9	0	1	1	1	0.6443479999999999	0.692174	0.088913	4713
3	0	6	0	2	1	2	0.680833	0.770417	0.171025	4835
3	1	8	0	2	1	1	0.728333	0.62	0.190925	7040
4	0	11	0	1	1	3	0.4475	0.91	0.138054	2765
2	1	3	0	3	1	2	0.531667	0.82125	0.08955830000000001	6230
4	1	10	0	1	1	3	0.44	0.88	0.3582	22
2	0	6	0	6	0	1	0.696667	0.670417	0.11940799999999999	5119
4	0	11	0	3	1	2	0.440833	0.757917	0.335825	2566
