"season","yr","mnth","holiday","weekday","workingday","weathersit","temp","hum","windspeed","cnt"
"1","1","1","1","2","2","1",0.196364,0.437273,0.248309,1360.14953613281
"1","1","1","1","3","2","1",0.2,0.590435,0.160296,1536.19055175781
"1","1","1","1","4","2","1",0.226957,0.436957,0.1869,1857.64733886719
"1","1","1","1","5","2","1",0.204348,0.518261,0.0895652,1533.46691894531
"1","1","1","1","7","1","2",0.233333,0.49875,0.157963,1301.7685546875
"1","1","1","1","1","1","1",0.231667,0.48375,0.188433,1296.61633300781
"1","1","1","1","6","2","1",0.1775,0.457083,0.353242,1437.673828125
"1","1","1","1","7","1","1",0.0591304,0.4,0.17197,1277.83166503906
"1","1","1","1","4","2","3",0.2175,0.8625,0.29385,392.434509277344
"1","1","1","1","6","2","2",0.203478,0.793043,0.1233,1087.68762207031
"1","1","2","1","7","1","1",0.2225,0.544167,0.203367,1751.76025390625
"1","1","2","1","1","1","1",0.316522,0.457391,0.260883,2003.33349609375
"1","1","2","1","5","2","2",0.295652,0.697391,0.250496,1442.42126464844
"1","1","2","1","6","2","2",0.364348,0.712174,0.346539,1431.00646972656
"1","1","2","1","1","1","1",0.343478,0.68,0.125248,1728.29858398438
"1","1","2","1","2","2","2",0.407273,0.876364,0.289686,1562.51110839844
"1","1","3","1","2","2","1",0.261739,0.551304,0.341352,1902.91052246094
"2","1","3","1","5","2","2",0.285,0.805833,0.243787,1802.11828613281
"2","1","3","1","2","2","1",0.264348,0.302174,0.212204,2270.36645507812
"2","1","3","1","4","2","2",0.3,0.646667,0.172888,2836.7587890625
"2","1","3","1","5","2","3",0.268333,0.918333,0.217646,1078.58129882812
"2","1","4","1","6","2","2",0.3,0.68625,0.258708,2307.51049804688
"2","1","4","1","7","1","2",0.315,0.65375,0.197146,2650.0107421875
"2","1","4","1","2","2","1",0.573333,0.42625,0.38061125,3984.431640625
"2","1","4","1","3","2","2",0.414167,0.642083,0.38061125,2334.43676757812
"2","1","4","1","6","2","2",0.335833,0.83625,0.226992,2460.86767578125
"2","1","4","1","1","1","2",0.426667,0.8575,0.146767,2660.38916015625
"2","1","4","2","6","1","1",0.446667,0.67125,0.226375,3411.26000976562
"2","1","4","1","2","2","1",0.5125,0.5425,0.163567,4132.17138671875
"2","1","4","1","5","2","1",0.459167,0.407083,0.325258,3821.88525390625
"2","1","4","1","6","2","2",0.336667,0.729583,0.219521,2652.88452148438
"2","1","4","1","1","1","2",0.581667,0.810833,0.192175,3856.56787109375
"2","1","4","1","2","2","1",0.606667,0.776667,0.185333,4251.01123046875
"2","1","5","1","3","2","2",0.616667,0.697083,0.342667,3990.8359375
"2","1","5","1","4","2","2",0.414167,0.737083,0.328996,2326.70239257812
"2","1","5","1","1","1","2",0.5625,0.867083,0.152979,3923.55688476562
"2","1","5","1","3","2","2",0.561667,0.837917,0.277354,3438.32055664062
"2","1","5","1","6","2","1",0.681667,0.65375,0.240679,4810.7197265625
"2","1","5","1","3","2","1",0.775,0.636667,0.111329,4310.10302734375
"2","1","6","1","3","2","1",0.7075,0.597917,0.187808,4850.14404296875
"3","1","6","1","7","1","1",0.695,0.483333,0.209571,5505.2490234375
"3","1","6","1","2","2","2",0.6825,0.658333,0.107588,4718.958984375
"3","1","6","1","3","2","1",0.744167,0.634167,0.144283,4529.51611328125
"3","1","6","1","5","2","1",0.696667,0.434167,0.185312,5132.46044921875
"3","1","7","1","1","1","1",0.719167,0.604167,0.245033,4964.630859375
"3","1","7","1","4","2","1",0.775,0.402917,0.183463,4722.24755859375
"3","1","8","1","3","2","1",0.783333,0.49125,0.20585,4689.27978515625
"3","1","8","1","2","2","1",0.765,0.592083,0.192175,4386.68994140625
"3","1","8","1","6","2","1",0.708333,0.415,0.125621,5135.5498046875
"3","1","8","1","7","1","2",0.685833,0.729583,0.211454,4213.89990234375
"3","1","8","1","5","2","1",0.711667,0.654583,0.233208,4752.38916015625
"3","1","8","1","2","2","1",0.691667,0.47,0.27675,4958.8408203125
"3","1","8","1","5","2","2",0.684167,0.771667,0.210833,3980.21313476562
"3","1","8","1","1","1","1",0.707059,0.561765,0.304659,4775.1123046875
"3","1","9","1","6","2","2",0.643333,0.727083,0.139929,4728.87255859375
"3","1","9","1","1","1","1",0.653333,0.71375,0.115054,4915.548828125
"3","1","9","1","1","1","1",0.5075,0.695,0.178483,4514.958984375
"3","1","9","1","2","2","2",0.549167,0.69,0.151742,4517.55419921875
"4","1","9","1","4","2","2",0.635,0.84875,0.148629,4249.15185546875
"4","1","9","1","6","2","1",0.564167,0.6475,0.206475,4665.72607421875
"4","1","10","1","2","2","1",0.534167,0.579583,0.175379,4639.76416015625
"4","1","10","1","3","2","2",0.5325,0.701667,0.110087,4692.51513671875
"4","1","10","1","4","2","3",0.541739,0.895217,0.243339,2203.15502929688
"4","1","11","1","3","2","1",0.400833,0.68375,0.135571,3352.14111328125
"4","1","11","1","4","2","1",0.3775,0.71875,0.0820917,3761.20727539062
"4","1","11","1","6","2","2",0.403333,0.6225,0.271779,3354.43310546875
"4","1","11","1","4","2","1",0.4,0.758333,0.0621958,4019.76489257812
"4","1","11","1","1","1","1",0.440833,0.458333,0.281721,3695.65209960938
"4","1","11","1","3","2","2",0.53,0.68875,0.199633,3933.8720703125
"4","1","11","1","6","2","1",0.274167,0.41,0.168533,3118.98999023438
"4","1","11","1","7","1","1",0.329167,0.502083,0.224496,3940.033203125
"4","1","12","1","5","2","1",0.3125,0.524583,0.220158,3617.17944335938
"4","1","12","1","2","2","2",0.385833,0.827083,0.0622083,3201.09741210938
"4","1","12","1","3","2","3",0.4625,0.949583,0.232583,1529.18981933594
"4","1","12","1","5","2","1",0.265833,0.58,0.240058,3129.0576171875
"1","1","12","1","6","2","1",0.373333,0.68625,0.274246,1857.76208496094
"1","1","12","2","2","1","1",0.321739,0.506957,0.239465,1880.66259765625
